@relation 'Polution-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R11-weka.filters.unsupervised.attribute.Remove-R2-3,5-6,9-10'

@attribute DayWeek {Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday}
@attribute NO2 numeric
@attribute PM10 numeric
@attribute Temperature numeric
@attribute Polution {SO2,NO,NO2,O3,CO,PM10}
@attribute Place {Palau_Reial,Torrente_Gornal,Sants}
@attribute Grade {1,2,3}

@data
Saturday,24,16,23.4,O3,Palau_Reial,3
Sunday,25,22,25.6,O3,Palau_Reial,3
Monday,23,21,24.8,O3,Palau_Reial,3
Tuesday,31,27,23,O3,Palau_Reial,3
Wednesday,22,14,18.7,O3,Palau_Reial,3
Thursday,21,10,18.2,O3,Palau_Reial,3
Friday,37,13,20.8,NO2,Palau_Reial,2
Saturday,12,10,19,O3,Palau_Reial,3
Sunday,22,10,18.6,O3,Palau_Reial,3
Monday,29,14,20.6,O3,Palau_Reial,3
Tuesday,40,20,20.1,NO2,Palau_Reial,3
Wednesday,41,19,21,NO2,Palau_Reial,2
Thursday,36,19,21.2,NO2,Palau_Reial,2
Friday,33,18,19.6,NO2,Palau_Reial,2
Saturday,30,13,20.6,O3,Palau_Reial,3
Sunday,20,11,19.6,O3,Palau_Reial,2
Monday,36,17,20,NO2,Palau_Reial,2
Tuesday,28,16,20.6,NO2,Palau_Reial,2
Wednesday,26,19,20.6,O3,Palau_Reial,2
Thursday,39,20,20.5,NO2,Palau_Reial,2
Friday,35,18,20.4,O3,Palau_Reial,3
Saturday,25,21,21.3,O3,Palau_Reial,3
Sunday,20,19,20.6,O3,Palau_Reial,3
Monday,28,17,20,O3,Palau_Reial,3
Tuesday,31,20,19.4,NO2,Palau_Reial,2
Wednesday,42,17,19.2,NO2,Palau_Reial,2
Thursday,41,14,14.8,NO2,Palau_Reial,3
Friday,42,18,18.6,NO2,Palau_Reial,2
Saturday,21,22,17.2,O3,Palau_Reial,3
Sunday,19,18,15.1,O3,Palau_Reial,3
Monday,46,19,13.8,NO2,Palau_Reial,3
Tuesday,40,18,14.8,NO2,Palau_Reial,2
Wednesday,23,12,14.6,O3,Palau_Reial,3
Thursday,56,16,16,NO2,Palau_Reial,2
Friday,29,11,16.1,O3,Palau_Reial,3
Saturday,33,14,17.8,O3,Palau_Reial,3
Sunday,32,15,18.5,O3,Palau_Reial,3
Monday,48,23,18.5,NO2,Palau_Reial,2
Tuesday,36,20,18.3,NO2,Palau_Reial,2
Wednesday,32,19,16,NO2,Palau_Reial,2
Thursday,28,16,13.6,O3,Palau_Reial,3
Friday,33,18,11.5,NO2,Palau_Reial,3
Saturday,26,13,13.2,O3,Palau_Reial,3
Sunday,31,20,17.9,O3,Palau_Reial,3
Monday,43,32,19.1,NO2,Palau_Reial,2
Tuesday,51,44,19.8,PM10,Palau_Reial,2
Wednesday,49,59,19.5,PM10,Palau_Reial,1
Thursday,46,41,17,PM10,Palau_Reial,2
Friday,44,29,16.9,PM10,Palau_Reial,3
Saturday,55,31,18.6,PM10,Palau_Reial,3
Sunday,38,25,15.4,PM10,Palau_Reial,3
Monday,45,27,15.2,PM10,Palau_Reial,3
Tuesday,31,17,17.6,O3,Palau_Reial,3
Wednesday,39,24,16,NO2,Palau_Reial,2
Thursday,49,27,15.8,NO2,Palau_Reial,2
Friday,44,28,15.6,NO2,Palau_Reial,2
Saturday,20,18,14.8,O3,Palau_Reial,3
Sunday,16,7,11,O3,Palau_Reial,3
Monday,27,11,9.1,O3,Palau_Reial,3
Tuesday,15,12,8.8,O3,Palau_Reial,3
Wednesday,17,16,11.5,O3,Palau_Reial,3
Thursday,22,12,11.6,NO2,Palau_Reial,3
Friday,32,17,13.2,NO2,Palau_Reial,3
Saturday,38,16,12.6,NO2,Palau_Reial,3
Sunday,43,18,13.2,NO2,Palau_Reial,3
Monday,35,19,13.2,NO2,Palau_Reial,3
Tuesday,43,20,11,NO2,Palau_Reial,3
Wednesday,57,24,12,NO2,Palau_Reial,2
Thursday,65,33,14.2,NO2,Palau_Reial,2
Friday,49,22,15,NO2,Palau_Reial,2
Saturday,29,18,12.9,NO2,Palau_Reial,3
Sunday,24,19,14.2,O3,Palau_Reial,3
Monday,26,30,14.2,PM10,Palau_Reial,3
Tuesday,37,25,14,PM10,Palau_Reial,3
Wednesday,30,39,11.8,PM10,Palau_Reial,2
Thursday,26,8,9.8,NO2,Palau_Reial,3
Friday,36,13,10,NO2,Palau_Reial,3
Saturday,32,16,11.4,O3,Palau_Reial,3
Sunday,22,15,13,O3,Palau_Reial,3
Monday,33,14,11.7,NO2,Palau_Reial,3
Tuesday,33,24,11,NO2,Palau_Reial,3
Wednesday,39,20,9.8,NO2,Palau_Reial,3
Thursday,41,20,10.6,NO2,Palau_Reial,3
Friday,36,13,11,NO2,Palau_Reial,3
Saturday,34,17,9.9,NO2,Palau_Reial,3
Sunday,19,15,12.2,O3,Palau_Reial,3
Monday,20,24,12.8,O3,Palau_Reial,3
Tuesday,32,21,14,NO2,Palau_Reial,3
Wednesday,44,19,11.2,NO2,Palau_Reial,3
Thursday,45,19,11.8,NO2,Palau_Reial,3
Friday,44,19,14,NO2,Palau_Reial,2
Saturday,56,18,14.2,NO2,Palau_Reial,3
Sunday,39,13,12.7,NO2,Palau_Reial,3
Monday,70,29,14.2,NO2,Palau_Reial,2
Tuesday,66,28,12.8,NO2,Palau_Reial,2
Wednesday,57,23,11.8,NO2,Palau_Reial,2
Thursday,55,22,11.4,NO2,Palau_Reial,2
Friday,46,17,11,NO2,Palau_Reial,3
Saturday,23,21,10,O3,Palau_Reial,3
Sunday,23,17,9,O3,Palau_Reial,3
Monday,28,11,7.6,O3,Palau_Reial,3
Tuesday,20,8,8.5,O3,Palau_Reial,3
Wednesday,25,12,10.4,NO2,Palau_Reial,3
Thursday,41,15,12.2,NO2,Palau_Reial,2
Friday,36,14,11.2,NO2,Palau_Reial,3
Saturday,31,11,10.7,NO2,Palau_Reial,3
Sunday,17,6,11.6,NO2,Palau_Reial,3
Monday,44,15,13.3,NO2,Palau_Reial,3
Tuesday,64,25,14.1,NO2,Palau_Reial,2
Wednesday,56,21,12.2,NO2,Palau_Reial,3
Thursday,45,17,10.2,NO2,Palau_Reial,3
Friday,48,22,9.6,NO2,Palau_Reial,3
Saturday,50,20,10.6,NO2,Palau_Reial,3
Friday,45,25,11.4,NO2,Torrente_Gornal,3
Saturday,22,13,11.2,PM10,Torrente_Gornal,3
Sunday,26,14,8.8,NO2,Torrente_Gornal,3
Monday,40,11,9.6,NO2,Torrente_Gornal,3
Tuesday,36,11,9.3,NO2,Torrente_Gornal,3
Wednesday,14,14,7.8,PM10,Torrente_Gornal,3
Thursday,28,13,12.4,NO2,Torrente_Gornal,3
Friday,46,33,17.2,PM10,Torrente_Gornal,3
Saturday,41,21,14.4,NO2,Torrente_Gornal,3
Sunday,15,21,13.7,PM10,Torrente_Gornal,3
Monday,18,23,13,PM10,Torrente_Gornal,3
Tuesday,20,19,9.8,PM10,Torrente_Gornal,3
Wednesday,35,21,8.8,NO2,Torrente_Gornal,3
Thursday,40,23,9.4,NO2,Torrente_Gornal,2
Friday,36,19,7,NO2,Torrente_Gornal,3
Saturday,20,15,5.6,NO2,Torrente_Gornal,3
Sunday,30,21,6.6,NO2,Torrente_Gornal,3
Monday,53,30,9.4,NO2,Torrente_Gornal,2
Tuesday,42,23,8,PM10,Torrente_Gornal,3
Wednesday,58,23,10.4,NO2,Torrente_Gornal,2
Thursday,65,36,9.1,NO2,Torrente_Gornal,2
Friday,67,38,10.8,NO2,Torrente_Gornal,2
Saturday,64,39,13.9,NO2,Torrente_Gornal,2
Sunday,42,27,11.2,NO2,Torrente_Gornal,2
Monday,51,32,13.4,NO2,Torrente_Gornal,2
Tuesday,45,29,12.8,NO2,Torrente_Gornal,3
Wednesday,41,28,13,NO2,Torrente_Gornal,2
Thursday,43,33,12.1,NO2,Torrente_Gornal,2
Friday,59,48,11.6,PM10,Torrente_Gornal,2
Saturday,27,27,11,PM10,Torrente_Gornal,3
Sunday,37,35,10.2,NO2,Torrente_Gornal,3
Monday,34,25,14.2,NO2,Torrente_Gornal,2
Tuesday,49,28,13.6,PM10,Torrente_Gornal,3
Wednesday,34,25,12.4,PM10,Torrente_Gornal,3
